mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smoten__k_neighbors,param_smoten__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
66.15650587081909,13.716784489396872,0.03591699600219726,0.004951983015556056,3,auto,"{'smoten__k_neighbors': 3, 'smoten__sampling_strategy': 'auto'}",0.9990451097064704,0.998079519738895,0.9985629943603002,0.9980786078626576,0.9975914467507112,0.9982715356838069,0.000493958936114353,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30.550884628295897,7.1787908455575,0.036028480529785155,0.003399079730693436,3,0.5,"{'smoten__k_neighbors': 3, 'smoten__sampling_strategy': 0.5}",0.9990451097064704,0.9985636764370698,0.9980893123869503,0.9980786078626576,0.9971179117939866,0.9981789236374269,0.0006390856884390876,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46.32884817123413,11.098104773341571,0.03629813194274902,0.004069515333041662,3,0.75,"{'smoten__k_neighbors': 3, 'smoten__sampling_strategy': 0.75}",0.9985716050021227,0.9985636764370698,0.9985629943603002,0.9980786078626576,0.9971179117939866,0.9981789590912273,0.0005631257535371937,5,0.9998811684768198,1.0,1.0,1.0,1.0,0.999976233695364,4.7532609272060705e-05
55.7405909538269,12.237188300955852,0.03417682647705078,0.002834257109752698,3,1.0,"{'smoten__k_neighbors': 3, 'smoten__sampling_strategy': 1.0}",0.9990451097064704,0.998079519738895,0.9985629943603002,0.9980786078626576,0.9975914467507112,0.9982715356838069,0.000493958936114353,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49.8457576751709,0.6967881711508981,0.032081079483032224,0.0023603546277198876,5,auto,"{'smoten__k_neighbors': 5, 'smoten__sampling_strategy': 'auto'}",0.9985716050021227,0.9975925896859139,0.9985629943603002,0.9980786078626576,0.9975914467507112,0.9980794487323411,0.0004361679814998341,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24.173705053329467,0.21866402062415288,0.03272790908813476,0.00024463072586536854,5,0.5,"{'smoten__k_neighbors': 5, 'smoten__sampling_strategy': 0.5}",0.9985716050021227,0.9985636764370698,0.9985629943603002,0.9980786078626576,0.9975914467507112,0.9982736660825722,0.0003898859791561876,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46.57948851585388,10.825888825236875,0.03930506706237793,0.0018540125348597458,5,0.75,"{'smoten__k_neighbors': 5, 'smoten__sampling_strategy': 0.75}",0.9985716050021227,0.998079519738895,0.9985629943603002,0.9980786078626576,0.9975914467507112,0.9981768347429373,0.00036517410616934416,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
56.05426115989685,6.514577286374609,0.04970998764038086,0.019296903384047107,5,1.0,"{'smoten__k_neighbors': 5, 'smoten__sampling_strategy': 1.0}",0.9985716050021227,0.9975925896859139,0.9985629943603002,0.9980786078626576,0.9975914467507112,0.9980794487323411,0.0004361679814998341,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
69.90012993812562,25.775235032887487,0.06793484687805176,0.05649576368768674,7,auto,"{'smoten__k_neighbors': 7, 'smoten__sampling_strategy': 'auto'}",0.9985716050021227,0.9985636764370698,0.9980786078626576,0.9980786078626576,0.9975914467507112,0.9981767887830438,0.00036536726310837603,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30.37048473358154,5.654420993877783,0.0407529354095459,0.0012824793235213182,7,0.5,"{'smoten__k_neighbors': 7, 'smoten__sampling_strategy': 0.5}",0.9976193416702046,0.998079519738895,0.9985629943603002,0.9980786078626576,0.9975914467507112,0.9979863820765538,0.00035786995320294856,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
65.88697285652161,14.144444627822347,0.146710205078125,0.16375720130692287,7,0.75,"{'smoten__k_neighbors': 7, 'smoten__sampling_strategy': 0.75}",0.9981006647673314,0.9985636764370698,0.9985629943603002,0.9980786078626576,0.9971179117939866,0.9980847710442691,0.0005278551544404161,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
108.90125436782837,7.821585828839005,0.12528495788574218,0.08104606077152908,7,1.0,"{'smoten__k_neighbors': 7, 'smoten__sampling_strategy': 1.0}",0.9985716050021227,0.9985636764370698,0.9980786078626576,0.9980786078626576,0.9975914467507112,0.9981767887830438,0.00036536726310837603,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
113.45729985237122,7.520431397997668,0.04101386070251465,0.03522842720532962,9,auto,"{'smoten__k_neighbors': 9, 'smoten__sampling_strategy': 'auto'}",0.9985716050021227,0.998079519738895,0.9985629943603002,0.9980786078626576,0.9971179117939866,0.9980821277515923,0.0005292546227302887,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
57.3464608669281,0.8014375059988835,0.03497834205627441,0.004742397994949408,9,0.5,"{'smoten__k_neighbors': 9, 'smoten__sampling_strategy': 0.5}",0.9990451097064704,0.9985636764370698,0.9980893123869503,0.9980786078626576,0.9966469868407004,0.9980847386467697,0.000802356870819561,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
83.44484467506409,4.551451353088254,0.028865337371826172,0.009831253003335197,9,0.75,"{'smoten__k_neighbors': 9, 'smoten__sampling_strategy': 0.75}",0.9985716050021227,0.9990451097064704,0.9985629943603002,0.9980786078626576,0.9971179117939866,0.9982752457451074,0.0006544321087784289,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
66.60345439910888,6.011709282823647,0.01198272705078125,0.0010213272828961024,9,1.0,"{'smoten__k_neighbors': 9, 'smoten__sampling_strategy': 1.0}",0.9985716050021227,0.998079519738895,0.9985629943603002,0.9980786078626576,0.9971179117939866,0.9980821277515923,0.0005292546227302887,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
